Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,12,0,1500.0,1745.6735500018112,1210.6610000191722,2773.3440999872983,239668.5,0.06715306683471328,0.0,1500,1900,2400,2400,2400,2800,2800,2800,2800,2800,2800
GET,/about/,12,0,1500.0,1594.473800001045,1194.781400001375,2918.2753000059165,230781.83333333334,0.06715306683471328,0.0,1500,1500,1700,1700,1800,2900,2900,2900,2900,2900,2900
GET,/become-a-show-creator/,9,0,1800.0,2796.331877778155,1438.5392000258435,6592.387799988501,231091.88888888888,0.05036480012603496,0.0,1800,2000,2000,6400,6600,6600,6600,6600,6600,6600,6600
GET,/blog/,9,0,1600.0,1601.259433334538,1422.1923000004608,1762.611400015885,243480.88888888888,0.05036480012603496,0.0,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800
GET,/contact/,12,0,1500.0,1818.6183083234937,1259.170199977234,4490.097700007027,230828.58333333334,0.06715306683471328,0.0,1500,1600,2000,2000,2300,4500,4500,4500,4500,4500,4500
GET,/intern/,11,0,1500.0,1929.4831636361778,1289.1093000071123,4689.147099998081,231175.45454545456,0.06155697793182051,0.0,1500,1700,1900,1900,2800,4700,4700,4700,4700,4700,4700
GET,/knowledge-base/,9,0,1500.0,1547.6152111110018,1366.9366000103764,1744.0169000183232,256474.88888888888,0.05036480012603496,0.0,1500,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/privacy/,9,0,1300.0,1574.5319555474755,1294.503099983558,2528.7894000066444,252003.11111111112,0.05036480012603496,0.0,1300,1400,1500,2100,2500,2500,2500,2500,2500,2500,2500
GET,/youbloom-at-bloom-2025/,9,0,1500.0,1541.9801000001219,1193.6847000033595,1969.7313000215217,228348.77777777778,0.05036480012603496,0.0,1500,1600,1600,1900,2000,2000,2000,2000,2000,2000,2000
GET,Artist Ratings,19,0,580.0,579.9591526370741,541.1706999875605,608.3767999953125,16597.0,0.1063256891549627,0.0,580,590,590,590,610,610,610,610,610,610,610
GET,Artists FanRating,19,0,590.0,608.4782000061272,555.6570000189822,987.0668000075966,16597.0,0.1063256891549627,0.0,590,600,600,610,620,990,990,990,990,990,990
POST,Login,16,0,1600.0,1728.7358500052505,1122.684100002516,3688.2177000225056,248931.0,0.08953742244628438,0.0,1600,1700,1800,1800,2100,3700,3700,3700,3700,3700,3700
GET,My Show discountcodes,20,0,570.0,575.3418549982598,542.3916999716312,662.6375000050757,16597.0,0.11192177805785547,0.0,570,580,590,590,610,660,660,660,660,660,660
GET,My Shows,21,21,290.0,289.57850475923067,270.7544000004418,317.2240999992937,6615.0,0.11751786696074824,0.11751786696074824,290,290,290,300,300,310,320,320,320,320,320
GET,My show ratings,20,0,580.0,586.3889149972238,550.0513000006322,674.2985000018962,16597.0,0.11192177805785547,0.0,580,590,600,600,640,670,670,670,670,670,670
GET,Show setup,23,23,290.0,292.95160434507443,268.02540000062436,386.863199993968,6615.0,0.12871004476653378,0.12871004476653378,290,290,300,300,320,340,390,390,390,390,390
POST,Signup,6,0,1700.0,1708.1268666612839,1283.8814999850001,2186.5246999950614,251166.0,0.03357653341735664,0.0,1700,1700,1900,1900,2200,2200,2200,2200,2200,2200,2200
GET,artist_band_local,5,0,600.0,583.0997999990359,546.984100015834,622.6800000004005,16597.0,0.027980444514463867,0.0,600,600,600,620,620,620,620,620,620,620,620
GET,artist_band_remote,5,0,570.0,571.240839996608,550.3579000069294,598.3228999830317,16597.0,0.027980444514463867,0.0,570,580,580,600,600,600,600,600,600,600,600
GET,artist_bands,5,0,560.0,570.5377199978102,544.6783000079449,610.7835000148043,16597.0,0.027980444514463867,0.0,560,570,570,610,610,610,610,610,610,610,610
GET,artist_region,5,5,410.0,438.3988599991426,370.2935000183061,596.0391999979038,6615.0,0.027980444514463867,0.027980444514463867,410,420,420,600,600,600,600,600,600,600,600
POST,forgot password,31,0,1500.0,1727.7191096781603,1188.0445000133477,4867.673600005219,249046.0,0.17347875598967596,0.0,1500,1600,1900,1900,2400,2900,4900,4900,4900,4900,4900
GET,show checkin,20,20,290.0,289.9537099932786,267.2552000149153,320.80459999269806,6615.0,0.11192177805785547,0.11192177805785547,290,290,300,300,310,320,320,320,320,320,320
POST,youbloom connect login,11,11,320.0,554.5608181855641,277.6583999802824,1045.1820000016596,6615.0,0.06155697793182051,0.06155697793182051,320,820,840,840,860,1000,1000,1000,1000,1000,1000
,Aggregated,318,80,610.0,1061.3282610056958,267.2552000149153,6592.387799988501,116804.75471698113,1.779556271119902,0.4476871122314219,610,1400,1500,1600,1900,2300,2900,4700,6600,6600,6600
