Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741771412,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741771413,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741771414,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741771415,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741771416,50,,Aggregated,0.000000,0.000000,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,2,0,3500.0,3622.8039499983424,3462.179499998456,3783.428399998229,261011.5
1741771417,60,,Aggregated,0.000000,0.000000,3800,4000,4200,4200,4200,4200,4200,4200,4200,4200,4200,7,0,3800.0,3874.5101285707537,3462.179499998456,4246.13970000064,257792.57142857142
1741771418,70,,Aggregated,0.000000,0.000000,3800,4000,4200,4200,4200,4200,4200,4200,4200,4200,4200,7,0,3800.0,3874.5101285707537,3462.179499998456,4246.13970000064,257792.57142857142
1741771419,80,,Aggregated,1.000000,0.000000,4200,4200,5500,5900,6900,6900,6900,6900,6900,6900,6900,10,0,4000.0,4538.427049998427,3462.179499998456,6920.5142999999225,250928.0
1741771420,90,,Aggregated,1.166667,0.000000,4200,4200,5500,5500,5900,6900,6900,6900,6900,6900,6900,12,0,4000.0,4574.796691665445,3462.179499998456,6920.5142999999225,248317.66666666666
1741771421,100,,Aggregated,1.166667,0.000000,4200,5500,5500,5900,6900,7100,7100,7100,7100,7100,7100,14,0,4200.0,4729.324592855327,3462.179499998456,7147.133799997391,247128.57142857142
1741771422,110,,Aggregated,1.250000,0.000000,4200,5900,6900,7100,9000,9600,9600,9600,9600,9600,9600,17,0,4200.0,5445.084164704895,3462.179499998456,9618.134299991652,244972.70588235295
1741771423,120,,Aggregated,1.555556,0.000000,5500,6900,7100,7200,9000,9600,9600,9600,9600,9600,9600,20,0,5500.0,5628.869294999458,3462.179499998456,9618.134299991652,243704.45
1741771424,130,,Aggregated,1.555556,0.000000,5500,6900,7100,7200,7800,9000,9600,9600,9600,9600,9600,21,0,5500.0,5704.952152379389,3462.179499998456,9618.134299991652,243574.04761904763
1741771425,140,,Aggregated,1.800000,0.000000,5900,7100,7400,7600,9000,9600,11000,11000,11000,11000,11000,24,0,5900.0,6069.257429165494,3462.179499998456,10833.311599999433,242493.83333333334
1741771426,150,,Aggregated,2.100000,0.000000,6000,7100,7400,7600,9400,9600,11000,11000,11000,11000,11000,27,0,6000.0,6222.110385184082,3462.179499998456,10833.311599999433,241829.8148148148
1741771427,160,,Aggregated,2.100000,0.000000,6900,7200,7600,7800,9600,9600,11000,11000,11000,11000,11000,28,0,6000.0,6342.887960713207,3462.179499998456,10833.311599999433,241798.9642857143
1741771428,170,,Aggregated,2.400000,0.000000,6900,7600,9400,9600,11000,13000,13000,13000,13000,13000,13000,32,0,6900.0,7078.5818656240735,3462.179499998456,13460.947399988072,240771.5625
1741771429,180,,Aggregated,2.400000,0.000000,6900,7600,9400,9600,11000,13000,13000,13000,13000,13000,13000,32,0,6900.0,7078.5818656240735,3462.179499998456,13460.947399988072,240771.5625
1741771430,190,,Aggregated,2.400000,0.000000,6900,7600,9400,9600,11000,13000,13000,13000,13000,13000,13000,32,0,6900.0,7078.5818656240735,3462.179499998456,13460.947399988072,240771.5625
1741771431,200,,Aggregated,2.400000,0.000000,6900,7600,9400,9600,11000,13000,13000,13000,13000,13000,13000,32,0,6900.0,7078.5818656240735,3462.179499998456,13460.947399988072,240771.5625
1741771432,210,,Aggregated,2.200000,0.000000,7400,9400,10000,11000,13000,14000,17000,17000,17000,17000,17000,41,0,7400.0,8071.992378048002,3462.179499998456,16728.044300019974,239998.24390243902
1741771433,220,,Aggregated,2.200000,0.000000,7400,9400,10000,11000,13000,14000,17000,17000,17000,17000,17000,41,0,7400.0,8071.992378048002,3462.179499998456,16728.044300019974,239998.24390243902
1741771434,230,,Aggregated,2.200000,0.000000,7400,9400,10000,11000,13000,14000,17000,17000,17000,17000,17000,41,0,7400.0,8071.992378048002,3462.179499998456,16728.044300019974,239998.24390243902
1741771435,240,,Aggregated,2.300000,0.000000,7800,9600,11000,12000,14000,17000,21000,21000,21000,21000,21000,49,0,7800.0,8586.082765305111,3462.179499998456,20801.57069998677,239799.75510204083
1741771436,250,,Aggregated,2.300000,0.000000,7800,9600,11000,12000,14000,17000,21000,21000,21000,21000,21000,49,0,7800.0,8586.082765305111,3462.179499998456,20801.57069998677,239799.75510204083
1741771437,260,,Aggregated,2.300000,0.000000,7800,9600,11000,12000,14000,17000,21000,21000,21000,21000,21000,49,0,7800.0,8586.082765305111,3462.179499998456,20801.57069998677,239799.75510204083
1741771438,270,,Aggregated,2.500000,0.000000,8600,10000,12000,13000,18000,21000,21000,21000,21000,21000,21000,56,0,8500.0,9590.478303569918,3462.179499998456,21151.052300003357,239383.0
1741771439,280,,Aggregated,2.500000,0.000000,8600,10000,12000,13000,18000,21000,21000,21000,21000,21000,21000,56,0,8500.0,9590.478303569918,3462.179499998456,21151.052300003357,239383.0
1741771440,290,,Aggregated,2.500000,0.000000,8600,10000,12000,13000,18000,21000,21000,21000,21000,21000,21000,56,0,8500.0,9590.478303569918,3462.179499998456,21151.052300003357,239383.0
1741771441,300,,Aggregated,2.400000,0.000000,8900,11000,13000,14000,18000,21000,21000,22000,22000,22000,22000,58,0,8600.0,9915.317127584973,3462.179499998456,22005.148299998837,239385.7931034483
1741771442,310,,Aggregated,2.400000,0.000000,9000,12000,13000,14000,18000,21000,21000,22000,22000,22000,22000,63,0,9000.0,10154.556252380153,3462.179499998456,22005.148299998837,239058.77777777778
1741771443,320,,Aggregated,2.400000,0.000000,9000,12000,13000,14000,18000,21000,21000,22000,22000,22000,22000,63,0,9000.0,10154.556252380153,3462.179499998456,22005.148299998837,239058.77777777778
1741771444,330,,Aggregated,2.600000,0.000000,9600,12000,14000,15000,19000,21000,22000,26000,26000,26000,26000,67,0,9600.0,10704.553023880302,3462.179499998456,26085.528099996736,238731.59701492538
1741771445,340,,Aggregated,2.200000,0.000000,9600,12000,14000,15000,19000,21000,22000,26000,26000,26000,26000,70,0,9600.0,10810.75007857123,3462.179499998456,26085.528099996736,239102.3142857143
1741771446,350,,Aggregated,2.200000,0.000000,9600,12000,14000,15000,19000,21000,22000,26000,26000,26000,26000,70,0,9600.0,10810.75007857123,3462.179499998456,26085.528099996736,239102.3142857143
1741771447,360,,Aggregated,2.600000,0.000000,10000,13000,14000,15000,19000,21000,26000,29000,29000,29000,29000,73,0,10000.0,11140.692443835664,3462.179499998456,28925.32760000904,238936.45205479453
1741771448,370,,Aggregated,2.100000,0.000000,11000,13000,15000,16000,21000,22000,26000,29000,29000,29000,29000,77,0,11000.0,11426.448467532671,3462.179499998456,28925.32760000904,239143.7922077922
1741771449,380,,Aggregated,2.100000,0.000000,11000,13000,15000,16000,21000,22000,26000,29000,29000,29000,29000,77,0,11000.0,11426.448467532671,3462.179499998456,28925.32760000904,239143.7922077922
1741771450,390,,Aggregated,2.500000,0.000000,11000,14000,15000,17000,21000,26000,31000,32000,32000,32000,32000,81,0,11000.0,12260.946759259195,3462.179499998456,32077.977600012673,238868.27160493826
1741771451,400,,Aggregated,2.100000,0.000000,11000,14000,16000,18000,22000,26000,31000,32000,32000,32000,32000,84,0,11000.0,12430.540009523698,3462.179499998456,32077.977600012673,238920.04761904763
1741771452,410,,Aggregated,2.100000,0.000000,11000,14000,16000,18000,22000,26000,31000,32000,32000,32000,32000,84,0,11000.0,12430.540009523698,3462.179499998456,32077.977600012673,238920.04761904763
1741771453,420,,Aggregated,2.500000,0.000000,12000,15000,16000,18000,23000,27000,31000,32000,32000,32000,32000,88,0,12000.0,12735.533370454505,3462.179499998456,32077.977600012673,238677.63636363635
1741771454,430,,Aggregated,2.600000,0.000000,12000,15000,16000,18000,23000,27000,31000,32000,32000,32000,32000,91,0,12000.0,12849.603199999994,3462.179499998456,32077.977600012673,238731.7032967033
1741771456,440,,Aggregated,2.600000,0.000000,12000,15000,16000,18000,23000,27000,31000,32000,32000,32000,32000,91,0,12000.0,12849.603199999994,3462.179499998456,32077.977600012673,238731.7032967033
1741771457,450,,Aggregated,2.500000,0.000000,12000,15000,18000,19000,25000,27000,32000,42000,42000,42000,42000,94,0,12000.0,13418.2284255317,3462.179499998456,41782.36499999184,238610.24468085106
1741771458,460,,Aggregated,2.400000,0.000000,12000,15000,18000,20000,26000,29000,39000,42000,42000,42000,42000,97,0,12000.0,13756.581669072344,3462.179499998456,41782.36499999184,238545.53608247422
1741771459,470,,Aggregated,2.100000,0.000000,12000,15000,18000,21000,26000,31000,39000,42000,42000,42000,42000,98,0,12000.0,13956.391604081788,3462.179499998456,41782.36499999184,238570.23469387754
1741771460,480,,Aggregated,2.400000,0.000000,13000,16000,18000,21000,26000,29000,33000,39000,42000,42000,42000,103,0,13000.0,14140.941042718658,3462.179499998456,41782.36499999184,238254.82524271845
1741771461,490,,Aggregated,2.300000,0.000000,13000,16000,18000,21000,27000,31000,35000,39000,42000,42000,42000,104,0,13000.0,14345.241593269468,3462.179499998456,41782.36499999184,238405.83653846153
1741771462,500,,Aggregated,2.100000,0.000000,13000,16000,19000,21000,28000,33000,39000,42000,47000,47000,47000,107,0,13000.0,14985.844269159052,3462.179499998456,47184.7737999924,238228.40186915887
1741771463,500,,Aggregated,2.600000,0.000000,14000,16000,20000,23000,29000,33000,39000,42000,47000,47000,47000,110,0,13000.0,15276.034570000378,3462.179499998456,47184.7737999924,238140.78181818183
1741771464,500,,Aggregated,2.300000,0.000000,14000,17000,20000,22000,28000,33000,39000,42000,47000,47000,47000,112,0,14000.0,15338.29898303624,3462.179499998456,47184.7737999924,238307.25
1741771465,500,,Aggregated,2.300000,0.000000,14000,17000,20000,23000,28000,33000,39000,42000,47000,47000,47000,115,0,14000.0,15517.71898173965,3462.179499998456,47184.7737999924,238045.6
1741771466,500,,Aggregated,2.600000,0.000000,14000,18000,21000,23000,29000,35000,42000,44000,47000,47000,47000,117,0,14000.0,15834.213807693091,3462.179499998456,47184.7737999924,238040.88888888888
1741771467,500,,Aggregated,2.400000,0.000000,14000,18000,21000,24000,29000,35000,42000,44000,47000,47000,47000,119,0,14000.0,15992.802525210896,3462.179499998456,47184.7737999924,238199.243697479
1741771468,500,,Aggregated,2.400000,0.000000,14000,18000,21000,24000,29000,35000,42000,44000,47000,47000,47000,120,0,14000.0,16016.709657500905,3462.179499998456,47184.7737999924,238095.98333333334
1741771469,500,,Aggregated,2.400000,0.000000,14000,18000,21000,24000,29000,35000,42000,44000,47000,47000,47000,120,0,14000.0,16016.709657500905,3462.179499998456,47184.7737999924,238095.98333333334
1741771470,500,,Aggregated,2.400000,0.000000,15000,19000,21000,25000,32000,35000,42000,44000,47000,47000,47000,125,0,15000.0,16601.202963200863,3462.179499998456,47184.7737999924,238080.192
1741771471,500,,Aggregated,2.400000,0.000000,15000,19000,21000,25000,32000,35000,42000,44000,47000,47000,47000,125,0,15000.0,16601.202963200863,3462.179499998456,47184.7737999924,238080.192
1741771472,500,,Aggregated,2.200000,0.000000,15000,19000,23000,26000,34000,40000,44000,46000,47000,47000,47000,130,0,15000.0,17303.524454616127,3462.179499998456,47184.7737999924,237963.8923076923
1741771473,500,,Aggregated,2.200000,0.000000,15000,19000,23000,26000,33000,40000,44000,46000,47000,47000,47000,132,0,15000.0,17280.19222878863,3462.179499998456,47184.7737999924,237994.65151515152
1741771474,500,,Aggregated,2.200000,0.000000,15000,19000,23000,26000,33000,40000,44000,46000,47000,47000,47000,132,0,15000.0,17280.19222878863,3462.179499998456,47184.7737999924,237994.65151515152
1741771475,500,,Aggregated,2.200000,0.000000,15000,19000,23000,26000,34000,40000,46000,47000,49000,49000,49000,133,0,15000.0,17515.421811278986,3462.179499998456,48565.72670000605,237903.022556391
1741771476,500,,Aggregated,2.200000,0.000000,16000,20000,24000,27000,35000,41000,46000,47000,49000,49000,49000,138,0,15000.0,18020.798939855533,3462.179499998456,48565.72670000605,237895.4420289855
1741771477,500,,Aggregated,1.700000,0.000000,16000,21000,26000,28000,35000,41000,47000,49000,55000,55000,55000,144,0,16000.0,18692.188690972707,3462.179499998456,54689.53440000769,237655.29166666666
